,y,x1,x2,y_1,e_1,y_2,e_2,y_3,e_3,y_4,e_4,y_5,e_5,y_6,e_6
26,-0.059519,0.0114004343283952,0.001369558847444,-0.06366221689524149,1.7166246241014478e-05,-0.05935211733816228,2.7849822822044027e-08,-0.062130082881793045,6.817753815592657e-06,-0.0616192575373925,4.411081723374007e-06,-0.059943334286615226,1.8005958679725025e-07,-0.05852676988966798,9.845205918495024e-07
27,-0.059515,0.0050434257005432,0.0014446403152266,-0.06381931688122158,1.8527143813969106e-05,-0.05997394390069378,2.1062950398402205e-07,-0.0628615863581423,1.1199640252504184e-05,-0.06252707327515226,9.0725854148865e-06,-0.06109674084869714,2.5019041124371438e-06,-0.05969057883001141,3.0827925548175413e-08
28,-0.059511,0.0021510467558261,0.0014661004286737,-0.06389080137227157,1.918266006055193e-05,-0.06026171529493692,5.635734540522285e-07,-0.06319580622249635,1.3577796897347795e-05,-0.06294084294499828,1.1763822627354498e-05,-0.06162660641466234,4.475790501760434e-06,-0.060231822874089236,5.195856158102644e-07
29,-0.059507,0.0055452393438215,0.0015289402412786,-0.06380687669453841,1.84889395882346e-05,-0.05992402319181826,1.7390834251429357e-07,-0.06280202525194348,1.0857191410945194e-05,-0.06245490018358964,8.690115492407833e-06,-0.061004594629814356,2.2427896752488048e-06,-0.05959724022903227,8.14329893579667e-09
30,-0.059503,-0.0118997352559665,0.0016956194489567,-0.06423800922488261,2.2420312359723423e-05,-0.06170193264443557,4.8353047747644005e-06,-0.06482616555660732,2.8336091543050525e-05,-0.06495227461586682,2.9694593839130478e-05,-0.06423402876914652,2.238263321449206e-05,-0.06295520351621613,1.1917709117374986e-05
31,-0.059498,0.0072910093727229,0.0018234135567659,-0.06376359774971528,1.819532416237605e-05,-0.059751056932598266,6.403781113604233e-08,-0.06259490632517008,9.590828786878417e-06,-0.06220388518982718,7.321814660526074e-06,-0.060684811426766946,1.4085213627045897e-06,-0.05927430069041157,5.0041381110341186e-08
32,-0.059494,-0.009638291119726,0.0020032804287964,-0.06418197817092164,2.197713933103781e-05,-0.06146397514784615,3.880802083131464e-06,-0.06455657994818902,2.562971573180552e-05,-0.06462701497615145,2.6347842745395065e-05,-0.06380888011437492,1.861819040142818e-05,-0.06250598648916197,9.072062610894287e-06
33,-0.059489,0.012064277607098,0.0021143719419141,-0.06364548669723392,1.7276381664282578e-05,-0.05928554601620568,4.139352352178067e-08,-0.062039529123992875,6.505198812335859e-06,-0.06152087222140362,4.128504724111688e-06,-0.05981981409903246,1.0943796811865925e-07,-0.058406355834475385,1.172118389144491e-06
34,-0.059484,0.0054667777694889,0.002282394031663,-0.06380849104124654,1.870122276582159e-05,-0.059929105116815644,1.9811856501546604e-07,-0.06279685019382285,1.0974976406712067e-05,-0.06246249835403393,8.871452444982831e-06,-0.061014545120976545,2.342568367345099e-06,-0.05961045606417861,1.599113616754494e-08
35,-0.059479,0.0031634280196843,0.0024239862463814,-0.06386536409464538,1.924018997079423e-05,-0.060157143443732485,4.5987853027735726e-07,-0.06306058113003846,1.2827723391047568e-05,-0.06279137823825601,1.0971849593271988e-05,-0.06143504353429694,3.826106308064882e-06,-0.060039675425131694,3.143569323466095e-07
36,-0.059474,-0.0093594607316018,0.0022615123045611,-0.06417497463879525,2.2099162554596126e-05,-0.06143386230811211,3.841060266758535e-06,-0.06451931743283515,2.545522799807027e-05,-0.0645858755775294,2.613127192014155e-05,-0.06375498862127717,1.8326863575504587e-05,-0.06245016329735367,8.85754797251509e-06
37,-0.059469,-0.0116622430939886,0.0023611286036202,-0.06423185177730327,2.2684757052560907e-05,-0.06167424128551772,4.863089127351834e-06,-0.06478635351067018,2.827424835743645e-05,-0.0649151937052211,2.966102587478992e-05,-0.06418475963169126,2.2238388903888903e-05,-0.06290571902876443,1.1811037682671547e-05
38,-0.059464,0.0116954757855964,0.0022187574740275,-0.06365455769601715,1.7560773803648515e-05,-0.05932078324890393,2.0511037794515326e-08,-0.06207992641428159,6.843071004936115e-06,-0.06157296548875359,4.447735432753642e-06,-0.059885632938666916,1.77774334968897e-07,-0.058472514069736845,9.830443499098006e-07
