u,v,w,C_m_up,a,b,V,std_u,std_v,std_w,std_C_m_up,a_true,time
149.56704946873734,-24.853615296960818,20.54241350428632,0.22940020734150168,0.16780313256876137,-0.16316145214108738,153.00325235985426,2.7993862111432732e-12,3.4377568770383076e-08,1.1206814539998392e-09,8.193508817285352e-12,0.1306612167605621,84.61000000000638
149.61342941474783,-24.895833474747754,19.489044705717586,0.22939652583271378,0.15924778839677275,-0.16353343430224518,152.91763681531614,2.798862972775642e-12,3.4346366300184525e-08,1.1206602186665717e-09,8.192875119263184e-12,0.12126690223044477,84.62000000000639
149.65698167891398,-24.9309418904295,18.44016393473085,0.22939676990470628,0.15072189188354976,-0.16385453875688982,152.835871688314,2.7983270317043253e-12,3.431508724753658e-08,1.1206431790566916e-09,8.19230798068283e-12,0.12225577744414133,84.63000000000639
149.69782587563517,-24.96131801306885,17.396367784932465,0.22940031811956382,0.14223050264125797,-0.16413990658134892,152.75843702053672,2.7977783507931132e-12,3.428374399188521e-08,1.1206297321802267e-09,8.191803448812166e-12,0.125222403085231,84.6400000000064
149.7363710440681,-24.995534515708226,16.35820128103117,0.22940529665038986,0.13377792336404706,-0.16444445480534364,152.6870928019899,2.7972169046872895e-12,3.425233043017609e-08,1.1206192819971144e-09,8.191357588069228e-12,0.12436321642415041,84.6500000000064
149.77251204627098,-25.030765051953907,15.325902033648315,0.22940412112402536,0.1253659506868274,-0.16475011024081737,152.621190654765,2.796642676810351e-12,3.422084657872175e-08,1.1206112399299569e-09,8.190966499647788e-12,0.0965936550952617,84.6600000000064
149.80593950621403,-25.060127432468573,14.299689217335004,0.2294072267485193,0.11699827707933554,-0.16501277600656616,152.5592036226704,2.7960556582915983e-12,3.418930735486168e-08,1.1206050257107816e-09,8.19062632555282e-12,0.10658777918122778,84.67000000000641
149.83669706073192,-25.084035293035708,13.279826210617234,0.22940611730335025,0.10867666156410723,-0.16523511204508265,152.50114228045157,2.7954558483565003e-12,3.41577267913129e-08,1.1206000687998971e-09,8.190333252040982e-12,0.08748303427399173,84.68000000000642
149.86534512554297,-25.11342052196823,12.266845288553723,0.22940738673247113,0.10040616823256196,-0.16548726916428486,152.4492737052004,2.794843259835755e-12,3.412609526249099e-08,1.1205958086346327e-09,8.190083504118965e-12,0.08350321681559,84.69000000000642
149.8912159189287,-25.133987332106802,11.260947828123578,0.229404785096273,0.09218888916471235,-0.16567757886223833,152.4004687488179,2.794217911344091e-12,3.409443410614364e-08,1.1205916960202296e-09,8.189873360741856e-12,0.06978946292990792,84.70000000000643
149.91476672555117,-25.154340432416685,10.262585039697875,0.2294061109929641,0.08402928995280287,-0.16586129597766544,152.35648583721394,2.7935798339217796e-12,3.406274600748272e-08,1.1205871935735355e-09,8.18969915321153e-12,0.08119313947211852,84.71000000000643
149.9361980482226,-25.177676162660088,9.271967504008973,0.22940613454731867,0.07592907350069653,-0.1660590212467927,152.31791832710485,2.792929067805963e-12,3.403102671874941e-08,1.1205817763290716e-09,8.189557277399987e-12,0.05675981615927496,84.72000000000644
149.95501237875033,-25.19332158473665,8.289608518765215,0.22940281463938472,0.06789306703505804,-0.16620229630541702,152.28239162615932,2.79226566230112e-12,3.3999295104283034e-08,1.1205749338510268e-09,8.189444186999403e-12,0.048546478011416545,84.73000000000644
149.971616187755,-25.20839234115441,7.315729813147679,0.22940255501441562,0.05992369362691159,-0.16633688641389802,152.25133368576402,2.7915896766875442e-12,3.396755457579806e-08,1.1205661694373965e-09,8.189356409231406e-12,0.06013171852728946,84.74000000000645
149.98607861535027,-25.223360973517,6.350619482543372,0.22940161472806203,0.05202350250347825,-0.16646592430117205,152.22474202646112,2.790901179578513e-12,3.393580749809209e-08,1.1205550012400545e-09,8.18929054544042e-12,0.04226144653026642,84.75000000000645
149.99849732454535,-25.238971168373574,5.394567404926706,0.22940340191856126,0.04419539190221579,-0.16659427856550493,152.20268139144542,2.7902002490953303e-12,3.390405460813102e-08,1.1205409627953416e-09,8.189243274687494e-12,0.0458157234253971,84.76000000000646
150.0089730835385,-25.25620204320806,4.447826116375865,0.2294067269406666,0.036441725015843966,-0.16672835084773874,152.18525192797176,2.7894869725731877e-12,3.387229450360645e-08,1.1205236034597273e-09,8.189211357780375e-12,0.026691525235268677,84.77000000000646
150.01724292288293,-25.26889418384982,3.5110381600567075,0.22940782360239245,0.0287680924251933,-0.16682867754605135,152.17101424521974,2.7887614480028665e-12,3.3840539072187146e-08,1.1205024915987486e-09,8.18919163566243e-12,0.017487690766806004,84.78000000000647
150.0233778197964,-25.277292551486955,2.5845438981517765,0.22940698403782192,0.021177646276391602,-0.16689694900371788,152.15990036259993,2.7880237824664245e-12,3.380879960490175e-08,1.1204772135566926e-09,8.189181039895086e-12,0.013865327381551957,84.79000000000647
150.02742763946716,-25.281243938806394,1.668734992854743,0.22940362610792855,0.013673928062193122,-0.1669323093023671,152.1517499593352,2.7872740925314396e-12,3.377708764607906e-08,1.1204473745421247e-09,8.189176596084441e-12,0.008714260182337489,84.80000000000648
150.0298655661886,-25.28838360943417,0.7633851997324235,0.22940541623324034,0.006255433186368524,-0.16698393422524108,152.14810437317095,2.786512500961509e-12,3.3745398215965135e-08,1.120412594441344e-09,8.189175429347708e-12,0.005293400385710465,84.81000000000648
